player,position,team,opponent,salary
Xavier Hutchinson,WR,HOU,TEN,3200
Dolphins,DST,MIA,NE,3100
Calvin Austin,WR,PIT,CLE,3100
Tylan Wallace,WR,BAL,LAC,3100
Malik Washington,WR,MIA,NE,3100
Colby Parkinson,TE,LAR,PHI,3100
JaLynn Polk,WR,NE,MIA,3100
Dyami Brown,WR,WAS,DAL,3100
Noah Gray,TE,KC,CAR,3100
Rakim Jarrett,WR,TB,NYG,3100
Mecole Hardman,WR,KC,CAR,3100
Colton Dowell,WR,TEN,HOU,3000
Brandon Aiyuk,WR,SF,GB,3000
Zach Pascal,WR,ARI,SEA,3000
KJ Osborn,WR,NE,MIA,3000
Jaelon Darden,WR,CLE,PIT,3000
Derius Davis,WR,LAC,BAL,3000
Chris Godwin,WR,TB,NYG,3000
DeAndre Carter,WR,CHI,MIN,3000
Jeff Foreman,WR,LV,DEN,3000
Anthony Gould,WR,IND,DET,3000
Jake Bobo,WR,SEA,ARI,3000
Britain Covey,WR,PHI,LAR,3000
Braxton Berrios,WR,MIA,NE,3000
Skyy Moore,WR,KC,CAR,3000
Gunner Olszewski,WR,NYG,TB,3000
Treylon Burks,WR,TEN,HOU,3000
Jacob Cowing,WR,SF,GB,3000
Xavier Weaver,WR,ARI,SEA,3000
Javon Baker,WR,NE,MIA,3000
Jamari Thrash,WR,CLE,PIT,3000
Jalen Reagor,WR,LAC,BAL,3000
Austin Hooper,TE,NE,MIA,3000
Tyler Scott,WR,CHI,MIN,3000
Ramel Keyton,WR,LV,DEN,3000
Ashton Dulin,WR,IND,DET,3000
49ers,DST,SF,GB,3000
Ainias Smith,WR,PHI,LAR,3000
Dee Eskridge,WR,MIA,NE,3000
Rashee Rice,WR,KC,CAR,3000
Ravens,DST,BAL,LAC,3000
Ihmir Smith-Marsette,WR,NYG,TB,3000
Bryce Oliver,WR,TEN,HOU,3000
Ronnie Bell,WR,SF,GB,3000
Cody White,WR,SEA,ARI,3000
Antoine Green,WR,DET,IND,3000
Roman Wilson,WR,PIT,CLE,3000
Deonte Harty,WR,BAL,LAC,3000
Anthony Schwartz,WR,MIA,NE,3000
Brandon Powell,WR,MIN,CHI,3000
Ryan Flournoy,WR,DAL,WAS,3000
Stefon Diggs,WR,HOU,TEN,3000
Malik Heath,WR,GB,SF,3000
Johnny Wilson,WR,PHI,LAR,3000
River Cracraft,WR,MIA,NE,3000
Hollywood Brown,WR,KC,CAR,3000
Brenden Rice,WR,LAC,BAL,3000
Bryce Ford-Wheaton,WR,NYG,TB,3000
JhaQuan Jackson,WR,TEN,HOU,3000
Chris Conley,WR,SF,GB,3000
Allen Robinson,WR,DET,IND,3000
Dareke Young,WR,SEA,ARI,3000
Scotty Miller,WR,PIT,CLE,3000
Devontez Walker,WR,BAL,LAC,3000
Grant DuBose,WR,MIA,NE,3000
Trent Sherfield,WR,MIN,CHI,3000
Jalen Brooks,WR,DAL,WAS,3000
Steven Sims,WR,HOU,TEN,3000
Bo Melton,WR,GB,SF,3000
Tyler Johnson,WR,LAR,PHI,3000
JaQuae Jackson,WR,NE,MIA,3000
David Bell,WR,CLE,PIT,3000
Simi Fehoko,WR,LAC,BAL,3000
Kameron Johnson,WR,TB,NYG,3000
Nsimba Webster,WR,CHI,MIN,3000
Josh Reynolds,WR,DEN,LV,3000
Juwann Winfree,WR,IND,DET,3000
Laviska Shenault,WR,SEA,ARI,3000
Ben Skowronek,WR,PIT,CLE,3000
Xavier Smith,WR,LAR,PHI,3000
Tahj Washington,WR,MIA,NE,3000
Jaaron Hayek,WR,KC,CAR,3000
Jamison Crowder,WR,WAS,DAL,3000
Josh Oliver,TE,MIN,CHI,2900
Eagles,DST,PHI,LAR,2900
Seahawks,DST,SEA,ARI,2900
Theo Johnson,TE,NYG,TB,2900
Chig Okonkwo,TE,TEN,HOU,2800
Darnell Washington,TE,PIT,CLE,2800
Rams,DST,LAR,PHI,2800
Elijah Higgins,TE,ARI,SEA,2800
Packers,DST,GB,SF,2800
Michael Mayer,TE,LV,DEN,2700
Patriots,DST,NE,MIA,2700
Chargers,DST,LAC,BAL,2700
Adam Trautman,TE,DEN,LV,2700
Browns,DST,CLE,PIT,2600
Grant Calcaterra,TE,PHI,LAR,2600
Jordan Akins,TE,CLE,PIT,2600
Cardinals,DST,ARI,SEA,2600
Nate Adkins,TE,DEN,LV,2600
Tommy Tremble,TE,CAR,KC,2600
Eric Saubert,TE,SF,GB,2500
Dalton Keene,TE,HOU,TEN,2500
Tip Reiman,TE,ARI,SEA,2500
Durham Smythe,TE,MIA,NE,2500
Connor Heyward,TE,PIT,CLE,2500
John Bates,TE,WAS,DAL,2500
Johnny Mundt,TE,MIN,CHI,2500
Justin Shorter,TE,LV,DEN,2500
Nick Vannett,TE,TEN,HOU,2500
John FitzPatrick,TE,GB,SF,2500
Will Mallory,TE,IND,DET,2500
Charlie Kolar,TE,BAL,LAC,2500
Ko Kieft,TE,TB,NYG,2500
Feleipe Franks,TE,CAR,KC,2500
Luke Schoonmaker,TE,DAL,WAS,2500
Marcedes Lewis,TE,CHI,MIN,2500
Raiders,DST,LV,DEN,2500
Brevin Jordan,TE,HOU,TEN,2500
Brady Russell,TE,SEA,ARI,2500
Julian Hill,TE,MIA,NE,2500
Daniel Bellinger,TE,NYG,TB,2500
James Winchester,TE,KC,CAR,2500
Harrison Bryant,TE,LV,DEN,2500
Josh Whyle,TE,TEN,HOU,2500
Ben Sims,TE,GB,SF,2500
Drew Ogletree,TE,IND,DET,2500
Stone Smartt,TE,LAC,BAL,2500
Payne Durham,TE,TB,NYG,2500
Ian Thomas,TE,CAR,KC,2500
Tyler Ott,TE,WAS,DAL,2500
Gerald Everett,TE,CHI,MIN,2500
Mitchell Fraboni,TE,DEN,LV,2500
